TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;ID_SUBCLASSE;DENOM_SOCIAL;DT_COMPTC;TP_ATIVO;PR_PL_ATIVO
CLASSES - FIF;40.413.936/0001-69;;JDV FUNDO DE INVESTIMENTO MULTIMERCADO MULTIESTRATEGIA CREDITO PRIVADO IE;2025-07-31;Títulos de crédito privado;5.07
CLASSES - FIF;40.764.095/0001-34;;CSHG DI SPECIAL FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADO - RESPONSABILIDADE LIMITADA;2025-07-31;Dep¿os a Prazo e Outros T¿los de Institui¿s Financeiras;15.28
CLASSES - FIF;40.764.095/0001-34;;CSHG DI SPECIAL FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADO - RESPONSABILIDADE LIMITADA;2025-07-31;Outros;14.58
CLASSES - FIF;40.764.095/0001-34;;CSHG DI SPECIAL FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADO - RESPONSABILIDADE LIMITADA;2025-07-31;T¿los de Cr¿to Privado;6.28
CLASSES - FIF;40.764.095/0001-34;;CSHG DI SPECIAL FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADO - RESPONSABILIDADE LIMITADA;2025-07-31;T¿los P¿blicos Federais;63.94
CLASSES - FIF;40.897.437/0001-94;;KRATHUS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;67.20
CLASSES - FIF;40.897.437/0001-94;;KRATHUS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;1.97
CLASSES - FIF;40.897.437/0001-94;;KRATHUS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-07-31;Títulos públicos federais;30.95
CLASSES - FIF;40.919.348/0001-00;;VINCI STB FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE INVESTIMENTO EM AÇÕES - RESP LIMITADA;2025-07-31;Ações;89.30
CLASSES - FIF;40.919.348/0001-00;;VINCI STB FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE INVESTIMENTO EM AÇÕES - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;10.18
FI;41.019.748/0001-13;;MAM ZC TESOURO SELIC FI RENDA FIXA SIMPLES DI SOBERANO RESPONSABILIDADE LIMITADA;2025-07-31;Renda Fixa;100.10
FI;41.036.490/0001-63;;INTER ACCESS ARBOR FC DE FI FINANCEIRO EM AÇÕES BDR NÍVEL I RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de Fundos de Investimento 555;97.07
