TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;ID_SUBCLASSE;DENOM_SOCIAL;DT_COMPTC;TP_ATIVO;PR_PL_ATIVO
CLASSES - FIF;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de fundos de investimento 409;91.59
CLASSES - FIF;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;8.51
CLASSES - FIF;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;0.01
CLASSES - FIF;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-07-31;Títulos públicos federais;0.03
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;7.70
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;17.66
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-07-31;Derivativos;-4.86
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;21.25
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-07-31;Títulos públicos federais;53.45
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de fundos de investimento 409;1.66
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;25.40
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;41.54
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-07-31;Títulos de crédito privado;13.86
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-07-31;Títulos públicos federais;17.49
CLASSES - FIF;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;0.91
CLASSES - FIF;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;59.57
CLASSES - FIF;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;25.64
CLASSES - FIF;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-07-31;Outras aplicações;0.65
CLASSES - FIF;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-07-31;Títulos de crédito privado;13.24
CLASSES - FIF;00.598.452/0001-17;;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;28.02
CLASSES - FIF;00.598.452/0001-17;;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;13.38
CLASSES - FIF;00.598.452/0001-17;;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-07-31;Títulos públicos federais;58.64
CLASSES - FIF;00.743.026/0001-20;;BANRISUL VIP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-07-31;DERIVATIVOS;-5.46
CLASSES - FIF;00.743.026/0001-20;;BANRISUL VIP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-07-31;OPERAÇÕES COMPROMISSADAS LASTREADAS EM TÍTULOS PÚBLICOS FEDERAIS;17.39
CLASSES - FIF;00.743.026/0001-20;;BANRISUL VIP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-07-31;TÍTULOS PÚBLICOS FEDERAIS;82.67
CLASSES - FIF;00.777.815/0001-81;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;3.55
CLASSES - FIF;00.777.815/0001-81;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;62.37
CLASSES - FIF;00.777.815/0001-81;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-07-31;Títulos de crédito privado;0.02
CLASSES - FIF;00.777.815/0001-81;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-07-31;Títulos públicos federais;33.95
CLASSES - FIF;00.793.947/0001-05;;BRADESCO VÊNUS FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA - RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de fundos de investimento 409;19.13
CLASSES - FIF;00.793.947/0001-05;;BRADESCO VÊNUS FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA - RESPONSABILIDADE LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;21.51
CLASSES - FIF;00.793.947/0001-05;;BRADESCO VÊNUS FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA - RESPONSABILIDADE LIMITADA;2025-07-31;Derivativos;-8.59
CLASSES - FIF;00.793.947/0001-05;;BRADESCO VÊNUS FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA - RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;12.31
CLASSES - FIF;00.793.947/0001-05;;BRADESCO VÊNUS FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA - RESPONSABILIDADE LIMITADA;2025-07-31;Títulos públicos federais;43.11
CLASSES - FIF;00.807.777/0001-62;;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-07-31;Cotas de Fundos de Investimento 409;14.99
CLASSES - FIF;00.807.777/0001-62;;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-07-31;Depósitos a Prazo e Outros Títulos de Instituições Financeiras;7.77
CLASSES - FIF;00.807.777/0001-62;;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-07-31;Operações Compromissadas Lastreadas em Títulos Públicos Federais;54.76
CLASSES - FIF;00.807.777/0001-62;;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-07-31;Outras Aplicações;7.29
CLASSES - FIF;00.807.777/0001-62;;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-07-31;Títulos Públicos Federais;12.01
CLASSES - FIF;00.809.773/0001-13;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CURTO PRAZO OVER - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;96.89
CLASSES - FIF;00.824.198/0001-28;;BRADESCO FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI FEDERAL - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;25.44
CLASSES - FIF;00.824.198/0001-28;;BRADESCO FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI FEDERAL - RESP LIMITADA;2025-07-31;Títulos públicos federais;69.26
CLASSES - FIF;00.825.076/0001-56;;PRATICBEC FIF - CLASSE DE INVESTIMENTO RF CURTO PRAZO - RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;96.64
CLASSES - FIF;00.825.077/0001-09;;BECMAXI FI FINANCEIRO - CI RF - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;100.01
CLASSES - FIF;00.826.901/0001-37;;CS EVOLUTION DI FUNDO DE INVESTIMENTO EM COTAS DE FIF RENDA FIXA REFERENCIADO - RESP LIMITADA;2025-07-31;Outras Cotas de Fundos de Investimento;100.01
CLASSES - FIF;00.826.901/0001-37;;CS EVOLUTION DI FUNDO DE INVESTIMENTO EM COTAS DE FIF RENDA FIXA REFERENCIADO - RESP LIMITADA;2025-07-31;Outros;0.04
CLASSES - FIF;00.826.903/0001-26;;CSHG TOP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO MULT RESP LIMITADA;2025-07-31;Outras Cotas de Fundos de Investimento;100.02
CLASSES - FIF;00.826.903/0001-26;;CSHG TOP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO MULT RESP LIMITADA;2025-07-31;Outros;0.01
CLASSES - FIF;00.829.163/0001-81;;BRADESCO FIF - CIC MULTI MULTIPERFORMANCE - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;99.90
CLASSES - FIF;00.832.453/0001-84;;CSHG DI FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CURTO PRAZO - RESPONSABILIDADE LIMITADA;2025-07-31;Outros;100.16
CLASSES - FIF;00.836.263/0001-35;;TIVIO ATIVO FI FINANCEIRO - CI RF LP - RESP LIMITADA;2025-07-31;Ações;0.03
CLASSES - FIF;00.836.263/0001-35;;TIVIO ATIVO FI FINANCEIRO - CI RF LP - RESP LIMITADA;2025-07-31;Derivativos;8.55
CLASSES - FIF;00.836.263/0001-35;;TIVIO ATIVO FI FINANCEIRO - CI RF LP - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;55.70
CLASSES - FIF;00.836.263/0001-35;;TIVIO ATIVO FI FINANCEIRO - CI RF LP - RESP LIMITADA;2025-07-31;Títulos de crédito privado;0.10
CLASSES - FIF;00.836.263/0001-35;;TIVIO ATIVO FI FINANCEIRO - CI RF LP - RESP LIMITADA;2025-07-31;Títulos públicos federais;44.20
CLASSES - FIF;00.838.266/0001-08;;BANESTES VITÓRIA 500 FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de fundos de investimento 555;2.24
CLASSES - FIF;00.838.266/0001-08;;BANESTES VITÓRIA 500 FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;12.32
CLASSES - FIF;00.838.266/0001-08;;BANESTES VITÓRIA 500 FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;37.42
CLASSES - FIF;00.838.266/0001-08;;BANESTES VITÓRIA 500 FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-07-31;Títulos de crédito privado;11.62
CLASSES - FIF;00.838.266/0001-08;;BANESTES VITÓRIA 500 FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-07-31;Títulos públicos federais;36.45
CLASSES - FIF;00.838.267/0001-52;;BANESTES INVESTIDOR AUTOMÁTICO FIF RENDA FIXA CURTO PRAZO RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;90.18
CLASSES - FIF;00.838.269/0001-41;;BANESTES INVEST MONEY FIF RENDA FIXA RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;72.63
CLASSES - FIF;00.838.269/0001-41;;BANESTES INVEST MONEY FIF RENDA FIXA RESPONSABILIDADE LIMITADA;2025-07-31;Títulos públicos federais;27.36
CLASSES - FIF;00.885.760/0001-23;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LONGO PRAZO 50 - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;27.27
CLASSES - FIF;00.885.760/0001-23;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LONGO PRAZO 50 - RESP LIMITADA;2025-07-31;Títulos públicos federais;72.86
CLASSES - FIF;00.885.762/0001-12;;BRADESCO H FIF - CLASSE DE  INVESTIMENTO RF REFERENCIADA DI LP TÍTULOS PÚBLICOS - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;9.05
CLASSES - FIF;00.885.762/0001-12;;BRADESCO H FIF - CLASSE DE  INVESTIMENTO RF REFERENCIADA DI LP TÍTULOS PÚBLICOS - RESP LIMITADA;2025-07-31;Títulos públicos federais;90.98
CLASSES - FIF;00.975.480/0001-06;;BRADESCO H FIF  - CLASSE DE  INVESTIMENTO RF REFERENCIADA DI LONGO PRAZO  RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;10.22
CLASSES - FIF;00.975.480/0001-06;;BRADESCO H FIF  - CLASSE DE  INVESTIMENTO RF REFERENCIADA DI LONGO PRAZO  RESPONSABILIDADE LIMITADA;2025-07-31;Títulos públicos federais;89.80
CLASSES - FIF;00.979.181/0001-40;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA SOMA - RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de fundos de investimento 409;19.78
CLASSES - FIF;00.979.181/0001-40;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA SOMA - RESPONSABILIDADE LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;22.24
CLASSES - FIF;00.979.181/0001-40;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA SOMA - RESPONSABILIDADE LIMITADA;2025-07-31;Derivativos;-8.88
CLASSES - FIF;00.979.181/0001-40;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA SOMA - RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;12.73
CLASSES - FIF;00.979.181/0001-40;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA SOMA - RESPONSABILIDADE LIMITADA;2025-07-31;Títulos públicos federais;44.58
CLASSES - FIF;01.114.310/0001-08;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA LONGO PRAZO PLUS - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;72.42
CLASSES - FIF;01.114.310/0001-08;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA LONGO PRAZO PLUS - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;7.85
CLASSES - FIF;01.114.310/0001-08;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA LONGO PRAZO PLUS - RESP LIMITADA;2025-07-31;Títulos públicos federais;19.98
CLASSES - FIF;01.171.956/0001-19;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS CAMBIAL DÓLAR - RESP LIMITADA;2025-07-31;Derivativos;99.97
CLASSES - FIF;01.171.956/0001-19;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS CAMBIAL DÓLAR - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;8.69
CLASSES - FIF;01.171.956/0001-19;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS CAMBIAL DÓLAR - RESP LIMITADA;2025-07-31;Títulos públicos federais;90.80
CLASSES - FIF;01.171.957/0001-63;;BRAM FI FINANCEIRO - CI RF - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;0.36
CLASSES - FIF;01.171.957/0001-63;;BRAM FI FINANCEIRO - CI RF - RESP LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;27.41
CLASSES - FIF;01.171.957/0001-63;;BRAM FI FINANCEIRO - CI RF - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;21.27
CLASSES - FIF;01.171.957/0001-63;;BRAM FI FINANCEIRO - CI RF - RESP LIMITADA;2025-07-31;Títulos de crédito privado;2.56
CLASSES - FIF;01.171.957/0001-63;;BRAM FI FINANCEIRO - CI RF - RESP LIMITADA;2025-07-31;Títulos públicos federais;47.88
CLASSES - FIF;01.197.545/0001-00;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA SATURNO - RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de fundos de investimento 409;19.03
CLASSES - FIF;01.197.545/0001-00;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA SATURNO - RESPONSABILIDADE LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;21.40
CLASSES - FIF;01.197.545/0001-00;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA SATURNO - RESPONSABILIDADE LIMITADA;2025-07-31;Derivativos;-8.55
CLASSES - FIF;01.197.545/0001-00;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA SATURNO - RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;12.25
CLASSES - FIF;01.197.545/0001-00;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA SATURNO - RESPONSABILIDADE LIMITADA;2025-07-31;Títulos públicos federais;42.88
CLASSES - FIF;01.221.890/0001-24;;CSHG VERDE FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de Fundos de Investimento 555;99.98
CLASSES - FIF;01.221.890/0001-24;;CSHG VERDE FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Outros;0.03
CLASSES - FIF;01.353.260/0001-03;;BANRISUL AUTOMÁTICO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CURTO PRAZO RESPONSABILIDADE LIMITAD;2025-07-31;OPERAÇÕES COMPROMISSADAS LASTREADAS EM TÍTULOS PÚBLICOS FEDERAIS;95.69
CLASSES - FIF;01.375.954/0001-41;;PLANNER REDWOOD FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO RESPOSABILIDADE LIMITADA;2025-07-31;Cotas de Fundos;1.35
CLASSES - FIF;01.375.954/0001-41;;PLANNER REDWOOD FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO RESPOSABILIDADE LIMITADA;2025-07-31;Renda Fixa;98.51
CLASSES - FIF;01.464.595/0001-07;;CSHG FUNDO DE INVESTIMENTO FINANCEIRO - CAMBIAL RESPONSABILIDADE LIMITADA;2025-07-31;Compromissadas lastreadas em T¿los P¿blicos;5.64
CLASSES - FIF;01.464.595/0001-07;;CSHG FUNDO DE INVESTIMENTO FINANCEIRO - CAMBIAL RESPONSABILIDADE LIMITADA;2025-07-31;Derivativos;0.00
CLASSES - FIF;01.464.595/0001-07;;CSHG FUNDO DE INVESTIMENTO FINANCEIRO - CAMBIAL RESPONSABILIDADE LIMITADA;2025-07-31;Outros;0.04
CLASSES - FIF;01.464.595/0001-07;;CSHG FUNDO DE INVESTIMENTO FINANCEIRO - CAMBIAL RESPONSABILIDADE LIMITADA;2025-07-31;T¿los P¿blicos Federais;93.73
CLASSES - FIF;01.496.940/0001-86;;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-07-31;Ações;96.84
CLASSES - FIF;01.496.940/0001-86;;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;0.00
CLASSES - FIF;01.496.940/0001-86;;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-07-31;Derivativos;2.16
CLASSES - FIF;01.496.940/0001-86;;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;4.18
CLASSES - FIF;01.541.649/0001-82;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT CONSERVADOR - RESP LIMITADA;2025-07-31;Ações;11.98
CLASSES - FIF;01.541.649/0001-82;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT CONSERVADOR - RESP LIMITADA;2025-07-31;Derivativos;67.55
CLASSES - FIF;01.541.649/0001-82;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT CONSERVADOR - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;7.49
CLASSES - FIF;01.541.649/0001-82;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT CONSERVADOR - RESP LIMITADA;2025-07-31;Outras aplicações;4.72
CLASSES - FIF;01.541.649/0001-82;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT CONSERVADOR - RESP LIMITADA;2025-07-31;Títulos públicos federais;65.07
CLASSES - FIF;01.562.582/0001-62;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO ATIVO - RESP LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;26.14
CLASSES - FIF;01.562.582/0001-62;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO ATIVO - RESP LIMITADA;2025-07-31;Derivativos;-5.33
CLASSES - FIF;01.562.582/0001-62;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO ATIVO - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;22.03
CLASSES - FIF;01.562.582/0001-62;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO ATIVO - RESP LIMITADA;2025-07-31;Títulos públicos federais;51.83
CLASSES - FIF;01.587.403/0001-41;;BANESTES VIP DI FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de fundos de investimento 555;2.24
CLASSES - FIF;01.587.403/0001-41;;BANESTES VIP DI FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;12.31
CLASSES - FIF;01.587.403/0001-41;;BANESTES VIP DI FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;37.40
CLASSES - FIF;01.587.403/0001-41;;BANESTES VIP DI FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-07-31;Títulos de crédito privado;11.62
CLASSES - FIF;01.587.403/0001-41;;BANESTES VIP DI FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-07-31;Títulos públicos federais;36.44
CLASSES - FIF;01.606.543/0001-10;;BRADESCO ALOCAÇÃO MODERADA FI FINANCEIRO - CIC MULT - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;9.93
CLASSES - FIF;01.606.543/0001-10;;BRADESCO ALOCAÇÃO MODERADA FI FINANCEIRO - CIC MULT - RESP LIMITADA;2025-07-31;Derivativos;13.56
CLASSES - FIF;01.606.543/0001-10;;BRADESCO ALOCAÇÃO MODERADA FI FINANCEIRO - CIC MULT - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;20.80
CLASSES - FIF;01.606.543/0001-10;;BRADESCO ALOCAÇÃO MODERADA FI FINANCEIRO - CIC MULT - RESP LIMITADA;2025-07-31;Títulos públicos federais;69.28
CLASSES - FIF;01.606.544/0001-64;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT DINÂMICO - RESP LIMITADA;2025-07-31;Ações;18.89
CLASSES - FIF;01.606.544/0001-64;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT DINÂMICO - RESP LIMITADA;2025-07-31;Derivativos;62.98
CLASSES - FIF;01.606.544/0001-64;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT DINÂMICO - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;6.55
CLASSES - FIF;01.606.544/0001-64;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT DINÂMICO - RESP LIMITADA;2025-07-31;Outras aplicações;4.40
CLASSES - FIF;01.606.544/0001-64;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT DINÂMICO - RESP LIMITADA;2025-07-31;Títulos públicos federais;60.26
CLASSES - FIF;01.606.545/0001-09;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MACRO - RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de fundos de investimento 409;19.04
CLASSES - FIF;01.606.545/0001-09;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MACRO - RESPONSABILIDADE LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;21.40
CLASSES - FIF;01.606.545/0001-09;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MACRO - RESPONSABILIDADE LIMITADA;2025-07-31;Derivativos;-8.55
CLASSES - FIF;01.606.545/0001-09;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MACRO - RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;12.25
CLASSES - FIF;01.606.545/0001-09;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MACRO - RESPONSABILIDADE LIMITADA;2025-07-31;Títulos públicos federais;42.89
